product_id,name,description,category_id,brand_id,list_price,created_at,updated_at,,
1001,Sucha karma dla psa z kurczakiem 15kg,Bezzbozowa karma z prawdziwym kurczakiem dla psow doroslych,11,1,189.99,2023-01-10T10:00:00,2023-01-10T10:00:00,,
1002,Sucha karma dla psa z wolowina 12kg,Wysokobialkowa karma z wolowina i warzywami,11,2,165.99,2023-01-10T10:05:00,2023-01-10T10:05:00,,
1003,Sucha karma dla psa z lososiem 10kg,Karma dla psow z wrazliwym zoladkiem z lososiem,11,1,199.99,2023-01-10T10:10:00,2023-01-10T10:10:00,,
1004,Mokra karma dla psa z indykiem 400g,Puszka z delikatnym indykiem i warzywami,12,2,8.99,2023-01-10T10:15:00,2023-01-10T10:15:00,,
1005,Mokra karma dla psa z wola 6x400g,Zestaw 6 puszek z wolowina w sosie,12,7,45.99,2023-01-10T10:20:00,2023-01-10T10:20:00,,
1006,Mokra karma dla psa z jagniecina 400g,Premium karma z jagniecina dla wybrednych psow,12,1,11.99,2023-01-10T10:25:00,2023-01-10T10:25:00,,
1007,Przysmaki dla psa - kostki treningowe,Male miekkie kostki idealne do treningu,13,9,19.99,2023-01-10T10:30:00,2023-01-10T10:30:00,,
1008,Przysmaki dla psa - paluszki z kurczaka,Suszone naturalne paluszki z kurczaka,13,11,24.99,2023-01-10T10:35:00,2023-01-10T10:35:00,,
1009,Przysmaki dla psa - uszy wieprzowe,Naturalne suszone uszy wieprzowe do zgryzania,13,11,15.99,2023-01-10T10:40:00,2023-01-10T10:40:00,,
1010,Pilka dla psa gumowa srednia,Wytrzymala pilka gumowa do aportowania,14,4,22.99,2023-01-10T10:45:00,2023-01-10T10:45:00,,
1011,Pilka dla psa piszczaca duza,Duza piszczaca pilka dla duzych psow ,14,4,29.99,2023-01-10T10:50:00,2023-01-10T10:50:00,,
1012,Zabawka dla psa sznur do przeciagania,Mocny sznur bawelniany do zabawy,14,9,18.99,2023-01-10T10:55:00,2023-01-10T10:55:00,,
1013,Zabawka dla psa Kong czerwony M,Klasyczny Kong do nadziewania przysmakami,14,4,45.99,2023-01-10T11:00:00,2023-01-10T11:00:00,,
1014,Zabawka dla psa pluszowy mis,Miekki pluszowy mis z piszczalka,14,9,32.99,2023-01-10T11:05:00,2023-01-10T11:05:00,,
1015,Smycz automatyczna 5m dla psa,Automatyczna smycz tasmowa do 25kg,15,7,69.99,2023-01-10T11:10:00,2023-01-10T11:10:00,,
1016,Smycz regulowana 2m dla psa,Wytrzymala smycz nylonowa regulowana,15,7,35.99,2023-01-10T11:15:00,2023-01-10T11:15:00,,
1017,Obroza dla psa M czarna,Klasyczna obroza nylonowa rozmiar M,15,7,25.99,2023-01-10T11:20:00,2023-01-10T11:20:00,,
1018,Obroza dla psa L niebieska,Wytrzymala obroza dla duzych psow,15,7,32.99,2023-01-10T11:25:00,2023-01-10T11:25:00,,
1019,Szelki dla psa M czerwone,Wygodne szelki z regulacja rozmiaru,15,7,55.99,2023-01-10T11:30:00,2023-01-10T11:30:00,,
1020,Legowisko dla psa 80x60cm szare,Miekkie legowisko z poduszka ,16,6,129.99,2023-01-10T11:35:00,2023-01-10T11:35:00,,
1021,Legowisko dla psa 100x70cm brazowe,Duze legowisko ortopedyczne dla psow,16,6,189.99,2023-01-10T11:40:00,2023-01-10T11:40:00,,
1022,Legowisko dla psa 60x50cm niebieskie,Male legowisko dla malych psow,16,6,89.99,2023-01-10T11:45:00,2023-01-10T11:45:00,,
1023,Szampon dla psa 250ml,Delikatny%szampon%dla%wszystkich%ras,17,5,28.99,2023-01-10T11:50:00,2023-01-10T11:50:00,,
1024,Szczotka dla psa srednia,Szczotka do wyczesywania podszerstka,17,5,24.99,2023-01-10T11:55:00,2023-01-10T11:55:00,,
1025,Witaminy dla psa 60 tabletek,Kompleks witamin dla zdrowia psa,18,13,45.99,2023-01-10T12:00:00,2023-01-10T12:00:00,,
1026,Preparat na kleszcze i pchly,Krople ochronne na 3 miesiace,18,13,78.99,2023-01-10T12:05:00,2023-01-10T12:05:00,,
2001,Sucha karma dla kota z kurczakiem 10kg,Bezzbozowa karma dla kotow doroslych,21,3,159.99,2023-01-10T12:10:00,2023-01-10T12:10:00,,
2002,Sucha karma dla kota z lososiem 7kg,Karma z lososiem dla kotow wybrednych,21,3,139.99,2023-01-10T12:15:00,2023-01-10T12:15:00,,
2003,Sucha karma dla kota sterylizowanego 8kg,Specjalna karma dla kotow po kastracji,21,8,145.99,2023-01-10T12:20:00,2023-01-10T12:20:00,,
2004,Mokra karma dla kota z tunczykiem 85g,Puszka z tunczykiem w galaretce,22,3,3.99,2023-01-10T12:25:00,2023-01-10T12:25:00,,
2005,Mokra karma dla kota z kurczakiem 12x85g,Zestaw 12 puszek z kurczakiem,22,8,42.99,2023-01-10T12:30:00,2023-01-10T12:30:00,,
2006,Mokra karma dla kota mix smakow 24x85g,Zestaw 24 puszek rozne smaki,22,12,79.99,2023-01-10T12:35:00,2023-01-10T12:35:00,,
